#,Team,Season,Playoffs,PTS/G,PTS,Plays,YDS,YDS/Play,1STDWN,3DMADE,3DATT,3DPCT,MADERED,ATTRED,PCTRED,PEN, PENYARDS,TOP,TOP 2,TODIFF,DefPTS,DefPLAYS,DefYDS,DefYDS/PLAY,Def1STDWN,Def3dMADE,Def3dATT,Def3dPCT,DefMADERED,DefATTRED,DefPCTRED,DefPEN,DefPENYDS,DefTOP
290,Steelers,2020,Y,26,416,1043,5354,5.1,322,97,230,42.2,33,52,63.5,81,691,31:49:00,31:49,9,312,996,4893,4.9,281,83,222,37.4,25,45,55.6,103,980,29:11:00
291,Texans,2011,Y,23.8,381,1046,5954,5.7,321,93,224,41.5,28,60,46.7,99,852,33:40:00,33:40,7,278,960,4571,4.8,270,76,212,35.8,21,44,47.7,88,686,27:20:00
292,Texans,2012,Y,26,416,1090,5953,5.5,341,83,221,37.6,32,57,56.1,108,873,34:46:00,34:46,12,331,1015,5172,5.1,292,71,215,33,20,40,50,90,863,28:50:00
293,Texans,2013,N,17.2,276,1089,5556,5.1,307,83,231,35.9,20,41,48.8,112,1138,32:31:00,32:31,-20,428,970,5081,5.2,282,75,217,34.6,32,48,66.7,102,809,30:30:00
294,Texans,2014,N,23.2,372,1062,5508,5.2,313,91,235,38.7,26,48,54.2,94,834,31:07:00,31:07,12,307,1077,5571,5.2,329,74,218,33.9,22,46,47.8,99,785,29:21:00
295,Texans,2015,Y,21.2,339,1127,5564,4.9,335,96,249,38.6,26,45,57.8,107,910,31:48:00,31:48,5,313,986,4963,5,281,61,214,28.5,22,39,56.4,116,991,29:12:00
296,Texans,2016,Y,17.4,279,1071,5035,4.7,305,87,233,37.3,18,44,40.9,87,868,32:34:00,32:34,-7,328,950,4821,5.1,272,82,213,38.5,23,44,52.3,114,950,29:52:00
297,Texans,2017,N,21.1,338,1027,5120,5,313,76,209,36.4,22,42,52.4,124,1050,30:06:00,30:06,-12,436,973,5546,5.7,301,71,201,35.3,33,54,61.1,122,1128,30:54:00
298,Texans,2018,Y,25.1,402,1040,5802,5.6,333,77,208,37,30,60,50,105,787,31:46:00,31:46,13,316,1022,5490,5.4,298,91,227,40.1,29,41,70.7,117,945,30:22:00
299,Texans,2019,Y,23.6,378,1017,5792,5.7,346,84,193,43.5,34,53,64.2,111,892,30:02:00,30:02,0,385,1020,6213,6.1,346,98,202,48.5,35,49,71.4,109,859,30:58:00
300,Texans,2020,N,24,384,940,6004,6.4,326,83,193,43,27,50,54,80,619,27:18:00,27:18,-9,464,1068,6668,6.2,390,96,202,47.5,40,63,63.5,76,678,33:55:00
